0000
0001
0002
0003
0004
0005
0006
0007
0008
0009
000A
000B
000C
000D
000E
000F
0010
0013
0017
0018
0019
001A
001B
001C
001D
001E
001F
0020
0021
0022
0023
0024
002A
002C
002D
002E
002F
0030
0031
0032
0033
00A6
00A7
00A8
00A9
00AA
00AB
00F9
00FA
00FB
00FC
00FD
00FE
00FF
0101
0102
0103
010A
0110
0111
0112
0113
0114
0115
0116
0117
011C
016A
016B
01BC
01D1
01D2
01D4
01D5
01D6
01D7
01E0
01E8
01E9
01EE
01F1
01F2
02F8
02F9
02FA
